synonym,target
amazon,aws
ios-13,ios
10.10,yosemite
ios13,ios
watchos-6,watchos
airpods-pro,airpods
delete,deleting
10.15,catalina
device-management,mdm
ibookstore,books
ibooks,books
ios-12,ios
touchbar,touch-bar
carrier-lock,cellular-carriers
vpp,volume-purchase-program
dep,device-enrollment-program
10.14,mojave
podcasts-app,podcasts.app
coil-whine,power-management
snapshots,apfs
iphone-8,iphone
iphone-6s,iphone
iphone-7,iphone
iphone-6,iphone
sshd,ssh
iphone-x,iphone
iphone-se,iphone
notfication,notifications
jxa,javascript-automation
ios-beta,ios
thunderbolt-3,thunderbolt
little-snitch,firewall
tag,finder-tag
extensions,plugins
mini-displayport,displayport
touchid,touch-id
graphics-card,gpu
hypervisor,virtualization
ipsec,vpn
osx,macos
10.12,sierra
macos-sierra,sierra
sudden-motion-sensor,hardware
posix,unix
content-blocker,safari-extensions
carplay,car-integration
racoon,back-to-my-mac
cell-phone-carriers,cellular-carriers
admin,administrator
unlocked,cellular-carriers
sprint,cellular-carriers
multitouch,multi-touch
address-book,contacts
trojan,malware
passcode,password
tvos,appletv
ipad-3,ipad
ipad-2,ipad
ipad-pro,ipad
3d-touch,multi-touch
multimarkdown,markdown
shell,command-line
multiple-displays,display
retina-display,display
brightness,display
rightclick,contextual-menu
menu-bar-apps,menu-bar
menu-extra,menu-bar
live-photos,photos
mdfind,spotlight
beats1,itunes-radio
brew,homebrew
windows10,windows
maps.app,maps
mobile-maps,maps
awk,unix
sed,unix
outlook,ms-office
calibre,ebook
ubuntu,unix
linux,unix
bsd,unix
freebsd,unix
gnu,unix
pf,firewall
outlook-2016,ms-office
apple-retail,apple-store
windows-10,windows
passbook,wallet
kext,kernel-extensions
osx-el-capitan,el-capitan
10.11,el-capitan
workout.app,apple-watch
glances,apple-watch
sdxc,sd-card
watch-os,apple-watch
icloud-photo-library,icloud
dhcp,network
networking,network
html5,html
adware,malware
force-touch-trackpad,trackpad
background-app-refresh,multitasking
background,multitasking
refurbished,hardware
ad-ware,malware
usb-c,usb
typography,font
macbook-retina,macbook-pro
rtl,internationalization
office365,office-365
rmbp,macbook-pro
macbook-air,macbook-pro
macbook,macbook-pro
m7,motion-processor
workflow,automation
script-editor,applescript
swapfile,virtual-memory
icloud-drive,icloud
smart,storage
fuse,filesystem
ext2,filesystem
webkit,safari
voice-command,voice-dictation
3d-audio,audio
spyware,malware
healthkit,health-kit
handoff,continuity
iphone-configuration-util,apple-configurator
iphone-6-plus,iphone
watch,apple-watch
appleid,apple-id
revisions,versions
water-damage,damage
hidpi,resolution
dpi,resolution
3g-internet,cellular-data
3g,cellular-data
store,apple-store
retina,display
google+,google
osx-yosemite,yosemite
fluid,fluid.app
launchagents,launchd
launchctl,launchd
ard,apple-remote-desktop
recovery-mode,ios-recovery-mode
osx-mavericks,mavericks
bugs,bug
personal-hotspot,tethering
server,server.app
push-notifications,apns
ios-supervision,mobile-device-management
vim,vi
lion-server,server.app
location,geolocation
battery-life,battery
iphone5c,iphone
iphone5s,iphone
10.9,mavericks
usb3,usb
ford-sync,car-integration
sync,data-synchronization
synchronization,data-synchronization
notes,notes.app
macintosh,mac
vmware-fusion,vmware
dictation,voice-dictation
speech-recognition,voice-dictation
logic-pro,logic
users,user-account
hyperlink,url
adobe-acrobat,pdf
ipad-mini,ipad
10.8,mountain-lion
pram,nvram
energy-saving,power-management
safari-6,safari
airplay-mirroring,airplay
10.4,tiger
scratch,scratches
magsafe-2,magsafe
window-management,window-manager
international,internationalization
wake,sleep-wake
sleep,sleep-wake
smc,power-management
pmu,power-management
ms-powerpoint,ms-office
ms-entourage,ms-office
ms-excel,ms-office
ms-word,ms-office
ms-outlook,ms-office
ms-lync,ms-office
activesync,exchange-activesync
clipboard,copy-paste
copy,copy-paste
pasteboard,copy-paste
redo,undo-redo
undo,undo-redo
external-display,display
multiple-monitors,display
10.5,leopard
mbp,macbook-pro
aliases,alias
updates,software-update
update,software-update
menulet,menu-bar
hdtv,television
gchat,chat
share,sharing
songs,music
nomenclature,terminology
itunes-sharing,home-sharing
iterm2,iterm
scripting,script
versions-app,versions
optimization,performance
oss,open-source
ppc,powerpc
tv,television
scripts,script
disk-usage,disk-space
safari-5,safari
safari-5.1,safari
feed,feeds
osx-10.3,panther
osx-10.5,leopard
drivers,driver
screenshot,screen-capture
final-cut-pro-x,final-cut-pro
dual-monitor,display
speed,performance
secondary-display,display
cli,command-line
fce,final-cut-express
mail,email
user,user-account
media-player,mediaplayer
startup-disk,startup
disk-drive,hard-drive
isight,webcam
h264,h.264
x264,h.264
microsoft-remote-desktop,remote-desktop
wi-fi,wifi
user-interface,ui
interface,ui
gui,ui
idvd-11,idvd
menubar,menu-bar
wireless,wifi
spell-check,spellcheck
app-store,ios-appstore
macbookair,macbook-pro
macpro,mac-pro
macbookpro,macbook-pro
power-supply,power
internal-speakers,speakers
imovie-11,imovie
microsoft-outlook,ms-office
ilife-11,ilife
mac-app-store,mac-appstore
passwords,password
apple-mail,mail.app
format,disk-format
styles,formatting
style,formatting
hotkey,keyboard
virtual-machine,virtualization
windows7,windows-7
migrating,migration
migrate,migration
ipod-application,ipod.app
ipod-app,ipod.app
chrome,google-chrome
flash,adobe-flash
pricing,price
os6,system-6
os7,classic-mac-os
microsoft-entourage,ms-office
appstore,ios-appstore
game,games
parallels,parallels-desktop
osx-lion,lion
10.7,lion
osx-10.7,lion
ram,memory
solid-state-drive,ssd
installation,install
symbolic-link,symlink
system,macos
automate,automator
remote,remote-control
vnc,remote-desktop
